redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,nhs_region
cwm_taf_morgannwg,cwm_taf_morgannwg,7A5B3,Prince Charles Hospital Site,CF47 9DT,Wales,-3.3861006,51.76433309999999,W11000030,CF47,Merthyr Tydfil,Acute,Wales
cwm_taf_morgannwg,cwm_taf_morgannwg,7A5CA,Ysbyty Cwm Rhondda,CF40 2LU,Wales,-3.4485196,51.6358678,W11000030,CF40,Rhondda Cynon Taf,Community,Wales
cwm_taf_morgannwg,cwm_taf_morgannwg,7A5HA,Ysbyty Cwm Cynon,CF45 4BZ,Wales,-3.3436056,51.6563332,W11000030,CF45,Rhondda Cynon Taf,Community,Wales
ni_southern_trust,ni_southern_trust,ZT003,Southern Health & Social Care Trust,BT63 5QQ,Northern Ireland,-6.410234699999999,54.4334842,ZB001,BT63,Craigavon,Acute,Northern Ireland
chesterfield_royal,chesterfield_royal,RFSDA,Chesterfield Royal Hospital,S44 5BL,England,-1.3974218,53.2364336,E38000229,S44,Bolsover,Acute,Midlands
sherwood_forest_ho,sherwood_forest_ho,RK5BC,King's Mill Hospital,NG17 4JL,England,-1.2345498,53.1357763,E38000103,NG17,Ashfield,Acute,Midlands
kettering_general,kettering_general,RNQ51,Kettering General Hospital,NN16 8UZ,England,-0.7416706,52.4018398,E38000108,NN16,Kettering,Acute,Midlands
northampton_genera,northampton_genera,RNS01,Northampton General Hospital (Acute),NN1 5BD,England,-0.8842779,52.23613659999999,E38000108,NN1,Northampton,Acute,Midlands
northamptonshire_h,northamptonshire_h,RP1V4,Berrywood Hospital,NN5 6UD,England,-0.9599878999999999,52.24746680000001,E38000108,NN5,Northampton,NA,Midlands
university_hospitah,university_hospitah,RTG02,Burton Hospital,DE13 0RB,England,-1.6561476,52.8175281,E38000053,DE13,East Staffordshire,Acute,Midlands
united_lincolnshir,united_lincolnshir,RWDDA,Lincoln County Hospital,LN2 5QY,England,-0.519479,53.2335711,E38000100,LN2,West Lindsey,Acute,Midlands
united_lincolnshir,united_lincolnshir,RWDLA,Pilgrim Hospital,PE21 9QS,England,-0.0106477,52.9907719,E38000099,PE21,Boston,Acute,Midlands
united_lincolnshir,united_lincolnshir,RWDLP,Grantham And District Hospital,NG31 8DG,England,-0.6406482,52.9210011,E38000165,NG31,South Kesteven,Acute,Midlands
