redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city
Aberdeen Royal Infirmary,aberdeen_royal_inf,N101H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1372687,57.1546973,S08000020,AB25,Aberdeen
NHS Lothian,nhs_lothian,S116H,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,EH4,Edinburgh
NHS Lothian,nhs_lothian,S308H,St John's Hospital,EH54 6PP,Scotland,-3.5235687,55.8914559,S08000024,EH54,West Lothian
NHS Lothian,nhs_lothian,S314H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh
Ninewells Hospital,ninewells_hospital,T101H,Ninewells Hospital,DD1 9SY,Scotland,-2.9913622,56.461653,S08000030,DD1,Dundee
NHS Forth Valley,nhs_forth_valley,V217H,Forth Valley Royal Hospital,FK5 4WR,Scotland,-3.8505852,56.0256532,S08000019,FK5,Falkirk
Manchester University Hospital,manchester_univers,R0A02,Manchester Royal Infirmary,M13 9WL,England,-2.2248907089233398,53.461673736572266,E38000217,M13,Manchester
Manchester University Hospital,manchester_univers,R0A03,Royal Manchester Children's Hospital,M13 9WL,England,-2.2244758605957031,53.460468292236328,E38000217,M13,Manchester
Manchester University Hospital,manchester_univers,R0A07,Wythenshawe Hospital,M23 9LT,England,-2.2918150424957275,53.388851165771484,E38000217,M23,Manchester
Manchester University Hospital,manchester_univers,R0A09,Trafford General Hospital,M41 5SL,England,-2.370682954788208,53.454067230224609,E38000187,M41,Trafford
Isle of Wight NHS Trust,isle_of_wight_nhs,R1F01,St Mary's Hospital,PO30 5TG,England,-1.3013159036636353,50.710845947265625,E38000087,PO30,Isle of Wight
St Bartholomews,st_bartholomews,R1H12,The Royal London Hospital,E1 1FR,England,-6.0150060802698135E-2,51.518699645996094,E38000186,E1,Tower Hamlets
Northwick Park,northwick_park,R1K01,Northwick Park Hospital,HA1 3UJ,England,-0.32202273607254028,51.575408935546875,E38000020,HA1,Harrow
Northwick Park,northwick_park,R1K02,Central Middlesex Hospital,NW10 7NS,England,-0.26914629340171814,51.530937194824219,E38000020,NW10,Brent
London North West University Healthcare NHS Trust,london_north_west,R1K04,Ealing Hospital,UB1 3HW,England,-0.34548112750053406,51.507606506347656,E38000048,UB1,Ealing
Royal Surrey NHSFT,royal_surrey_nhsft,RA201,Royal Surrey County Hospital,GU2 7XX,England,-0.6074482798576355,51.241016387939453,E38000214,GU2,Guildford
Yeovil District Hospital,yeovil_district_ho,RA430,Yeovil District Hospital,BA21 4AT,England,-2.6346983909606934,50.944847106933594,E38000150,BA21,South Somerset
Bristol Royal Infirmary,bristol_royal_infi,RA701,Bristol Royal Infirmary,BS2 8HW,England,-2.5961246490478516,51.459186553955078,E38000222,BS2,Bristol
University Hospitals Bristol NHFT,university_hospitag,RA707,St Michael's Hospital,BS2 8EG,England,-2.599376916885376,51.459136962890625,E38000222,BS2,Bristol
University Hospitals Bristol NHFT,university_hospitag,RA723,Bristol Royal Hospital For Children,BS2 8BJ,England,-2.5973148345947266,51.457752227783203,E38000222,BS2,Bristol
Torbay and south Devon Hospital,torbay_and_south_d,RA901,Torbay Hospital,TQ2 7AA,England,-3.5537905693054199,50.482322692871094,E38000230,TQ2,Torbay
Bradford Teaching Hospitals NHSFT,bradford_teaching,RAE01,Bradford Royal Infirmary,BD9 6RJ,England,-1.7946816682815552,53.805984497070313,E38000019,BD9,Bradford
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAJ01,Southend Hospital,SS0 0RY,England,0.68863177299499512,51.553836822509766,E38000168,SS0,Southend-on-Sea
Royal Free Hospital,royal_free_hospita,RAL01,Royal Free Hospital,NW3 2QG,England,-0.16530923545360565,51.55322265625,E38000027,NW3,Camden
North Middlesex University Hospital NHST,north_middlesex_un,RAPNM,North Middlesex University Hospital,N18 1QX,England,-7.3735140264034271E-2,51.613094329833984,E38000057,N18,Enfield
Hillingdon Hospital,hillingdon_hospita,RAS01,Hillingdon Hospital,UB8 3NN,England,-0.46116036176681519,51.526077270507812,E38000082,UB8,Hillingdon
Kingston Hospital NHS Foundation Trust,kingston_hospital,RAX01,Kingston Hospital,KT2 7QB,England,-0.2826094925403595,51.414825439453125,E38000090,KT2,Kingston upon Thames
Musgrove Park Hospital,musgrove_park_hosp,RBA11,Musgrove Park Hospital,TA1 5DA,England,-3.1216795444488525,51.011577606201172,E38000150,TA1,Somerset
Dorset County Hospital NHFT,dorset_county_hosp,RBD01,Dorset County Hospital,DT1 2JY,England,-2.4469225406646729,50.712944030761719,E38000045,DT1,West Dorset
Walsall Healthcare NHST,walsall_healthcare,RBK02,Manor Hospital,WS2 9PS,England,-1.9989091157913208,52.582332611083984,E38000191,WS2,Walsall
Wirral University Teaching Hospital NHFT,wirral_university,RBL14,Arrowe Park Hospital,CH49 5PE,England,-3.0968008041381836,53.36962890625,E38000208,CH49,Wirral
Whiston Hospital,whiston_hospital,RBN01,Whiston Hospital,L35 5DR,England,-2.7849390506744385,53.420475006103516,E38000091,L35,Knowsley
Royal Liverpool & Broadgreen University Hospitals NHSFT,royal_liverpool__b,RBQHQ,Liverpool Heart And Chest Hospital,L14 3PE,England,-2.8979747295379639,53.411155700683594,E38000101,L14,Liverpool
Mid Cheshire Hospital Trust,mid_cheshire_hospi,RBT20,Leighton Hospital,CW1 4QJ,England,-2.4758484363555908,53.117691040039063,E38000151,CW1,Cheshire East
The Christie NHSFT,the_christie_nhsft,RBV01,The Christie Main Site,M20 4BX,England,-2.2301101684570313,53.429771423339844,E38000217,M20,Manchester
Northern Devon Healthcare Trust,northern_devon_hea,RBZ12,North Devon District Hospital,EX31 4JB,England,-4.0504179000854492,51.092174530029297,E38000230,EX31,Exeter
Luton and Dunstable,luton_and_dunstabl,RC971,Luton And Dunstable Hospital,LU4 0DZ,England,-0.47441545128822327,51.894145965576172,E38000102,LU4,Luton
York Teaching Hospital NHS Foundation Trust,york_teaching_hosp,RCB55,The York Hospital,YO31 8HE,England,-1.084269642829895,53.968952178955078,E38000188,YO31,York
York Teaching Hospital NHS Foundation Trust,york_teaching_hosp,RCBCA,Scarborough Hospital,YO12 6QL,England,-0.43473798036575317,54.281707763671875,E38000145,YO12,North Yorkshire
Harrogate District Hospital,harrogate_district,RCD01,Harrogate District Hospital,HG2 7SX,England,-1.5175583362579346,53.993808746337891,E38000073,HG2,Harrogate
Airedale General Hospital,airedale_general_h,RCF22,Airedale General Hospital,BD20 6TD,England,-1.9626796245574951,53.898017883300781,E38000001,BD20,Bradford
Sheffield Children's NHS Foundation Trust,sheffield_children,RCUEF,Sheffield Children's Hospital,S10 2TH,England,-1.4906138181686401,53.380603790283203,E38000146,S10,Sheffield
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RCX70,The Queen Elizabeth Hospital,PE30 4ET,England,0.44669315218925476,52.756607055664062,E38000203,PE30,West Norfolk
