redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,18179.963581183612,-1.2147123573034901,18741.052342075167,-1.382350712574253,-3.211725728513524,9273.53587604344,21083,-2.3585574393965016,0.07962213893523584,0.182910104515816,0.037796008495932745,0.09473262071799543
East Kent Hospitals NHSFT,east_kent_hospital,RVV00,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.38939869403839,51.3780517578125,E38000184,CT9,Kent,11134.323788546255,0.5580432963964758,11015.678565573158,0.6080122543185578,-16.25589003786913,1458.7457523779383,10621,-0.057028583343283173,0.22257910661320854,0.3589495178334551,0.0995334833738244,0.2241888125437825
Lancashire & South Cumbria NHS Foundation Trust,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,PR2,Preston,15432.874223602485,-0.5950538043338509,15414.32598724969,-0.5696365066322745,2.123128689103269,6096.627009722718,13469.118210862622,-1.638383164230303,0.13460769814940646,0.31688916423518126,0.07646688516727287,0.18693792717534674
The Princess Alexandra Hospital,NA,RWQG0,The Princess Alexandra Hospital,CM20 1QX,England,0.0858092,51.7710499,E38000197,CM20,Harlow,19685.747881355932,-0.8747399602150424,19905.896513148236,-0.981986204485303,-2.871679460252773,16484.53344210978,20507,-1.4737688492207357,0,0.011669451766499094,0.012379127832586368,0.053341071016549786
Hertfordshire Partnership NHS Foundation Trust,hertfordshire_part,RWR01,Hertfordshire Partnership NHS Foundation Trust,AL3 5TQ,England,-0.3451309,51.7625796,E38000079,AL3,St Albans,23024.75729822553,-1.0419966409421866,23135.617384047164,-1.0917191048650685,-20.268628829322207,19313.508698555896,24296,-1.500013063023077,0.0028482136515377513,0.016354144470487962,0.013887705092691242,0.059874635982669226
Leicester Royal Infirmary,university_hospitaj,RWWAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1354407,52.6257466,E38000097,LE1,Leicester,10001.059917355371,2.7049975292438018,9986.69234642803,2.7727299055046832,1.0393498366165679,3087.0131094626186,8762,2.864048470553957,0.20302745335962386,0.3526770817533748,0.27612619444865766,0.47822235704535115
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADT,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,CH2,Cheshire West and Chester,19410.048469387755,-1.4095136901696428,19593.85629542986,-1.4545088538679922,-0.003365146030153473,9400.488258142788,22227,-2.288509352548689,0.0686202514390245,0.1576528839853833,0.018591888694918013,0.0769531816842633
NUH Nottingham University Hosptial,nuh_nottingham_uni,RXICC,NUH Nottingham University Hosptial,NG5 1PB,England,-1.1570212,52.9904528,E38000132,NG5,Nottingham,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.26598730698769957,0.5003173253075112
East Lancashire Hospitals NHS Trust,east_lancashire_ho,RXR29,East Lancashire Hospitals NHS Trust,BB10 2PQ,England,-2.228172,53.809828,E38000050,BB10,Burnley,12276.483427647534,-0.30054400670088927,12263.840060773242,-0.3221798310402784,1.2405178028347539,1319.2790238988007,9961,-0.8095285315999999,0.2527019309512521,0.36324134735571745,0.05913538209559933,0.1777159389681479
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXV70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,PE30,West Norfolk,13364.592267135326,-1.1397111765043937,13490.768114918998,-1.1119449947050142,0.7035143417783839,8915.567053818828,13471,-1.7175257730714284,0.06612430734479229,0.13814280168001977,0.033276862080730364,0.0806068306685961
